Installed Packages
BackupPC.noarch                          3.1.0-2.fc8            installed       
ConsoleKit.i386                          0.2.3-3.fc8.1          installed       
ConsoleKit-libs.i386                     0.2.3-3.fc8.1          installed       
ConsoleKit-x11.i386                      0.2.3-3.fc8.1          installed       
GConf2.i386                              2.20.1-1.fc8           installed       
GConf2-devel.i386                        2.20.1-1.fc8           installed       
GConf2-gtk.i386                          2.20.1-1.fc8           installed       
ImageMagick.i386                         6.3.5.9-1.fc8          installed       
ImageMagick-c++.i386                     6.3.5.9-1.fc8          installed       
ImageMagick-c++-devel.i386               6.3.5.9-1.fc8          installed       
ImageMagick-devel.i386                   6.3.5.9-1.fc8          installed       
ImageMagick-perl.i386                    6.3.5.9-1.fc8          installed       
MAKEDEV.i386                             3.23-1.2               installed       
MySQL-python.i386                        1.2.2-7.fc8            installed       
NetworkManager.i386                      1:0.7.0-0.6.9.svn3675. installed       
NetworkManager-glib.i386                 1:0.7.0-0.6.9.svn3675. installed       
NetworkManager-gnome.i386                1:0.7.0-0.6.9.svn3675. installed       
NetworkManager-openvpn.i386              1:0.7.0-10.svn3632.fc8 installed       
NetworkManager-vpnc.i386                 1:0.7.0-0.7.7.svn3627. installed       
ORBit2.i386                              2.14.10-2.fc8          installed       
ORBit2-devel.i386                        2.14.10-2.fc8          installed       
PolicyKit.i386                           0.6-2.fc8              installed       
PolicyKit-gnome.i386                     0.6-1.fc8              installed       
SDL.i386                                 1.2.13-2.fc8           installed       
SDL-devel.i386                           1.2.13-2.fc8           installed       
Xaw3d.i386                               1.5E-10.1              installed       
Xaw3d-devel.i386                         1.5E-10.1              installed       
a2ps.i386                                4.13b-69.fc8           installed       
acl.i386                                 2.2.39-13.fc8          installed       
acpid.i386                               1.0.6-5.fc8            installed       
alacarte.noarch                          0.11.3-4.fc8           installed       
alchemist.i386                           1.0.37-2.fc8           installed       
alsa-lib.i386                            1.0.16-3.fc8           installed       
alsa-lib-devel.i386                      1.0.16-3.fc8           installed       
alsa-plugins-pulseaudio.i386             1.0.15-3.fc8.1         installed       
